round,consumption_good_mean,consumption_good_ttl,HH__mean,HH__ttl
0,1.0,100,1.0,100
1,0.91,91,1.91,191
2,0.97,97,2.88,288
3,0.96,96,3.84,384
4,0.98,98,4.82,482
5,0.96,96,5.78,578
6,0.99,99,6.77,677
7,0.98,98,7.75,775
8,1.0,100,8.75,875
9,0.99,99,9.74,974
10,0.99,99,10.73,1073
11,0.99,99,11.72,1172
12,0.99,99,12.71,1271
13,1.0,100,13.71,1371
14,1.0,100,14.71,1471
15,1.0,100,15.71,1571
16,0.99,99,16.7,1670
17,1.0,100,17.7,1770
18,1.0,100,18.7,1870
19,1.0,100,19.7,1970
20,1.0,100,20.7,2070
21,1.0,100,21.7,2170
22,1.0,100,22.7,2270
23,1.0,100,23.7,2370
24,1.0,100,24.7,2470
25,1.0,100,25.7,2570
26,1.0,100,26.7,2670
27,1.0,100,27.7,2770
28,1.0,100,28.7,2870
29,1.0,100,29.7,2970
30,1.0,100,30.7,3070
31,1.0,100,31.7,3170
32,1.0,100,32.7,3270
33,1.0,100,33.7,3370
34,1.0,100,34.7,3470
35,1.0,100,35.7,3570
36,1.0,100,36.7,3670
37,1.0,100,37.7,3770
38,1.0,100,38.7,3870
39,1.0,100,39.7,3970
40,1.0,100,40.7,4070
41,1.0,100,41.7,4170
42,1.0,100,42.7,4270
43,1.0,100,43.7,4370
44,1.0,100,44.7,4470
45,1.0,100,45.7,4570
46,1.0,100,46.7,4670
47,1.0,100,47.7,4770
48,1.0,100,48.7,4870
49,1.0,100,49.7,4970
50,1.0,100,50.7,5070
51,1.0,100,51.7,5170
52,1.0,100,52.7,5270
53,1.0,100,53.7,5370
54,1.0,100,54.7,5470
55,1.0,100,55.7,5570
56,1.0,100,56.7,5670
57,1.0,100,57.7,5770
58,1.0,100,58.7,5870
59,1.0,100,59.7,5970
60,1.0,100,60.7,6070
61,1.0,100,61.7,6170
62,1.0,100,62.7,6270
63,1.0,100,63.7,6370
64,1.0,100,64.7,6470
65,1.0,100,65.7,6570
66,1.0,100,66.7,6670
67,1.0,100,67.7,6770
68,1.0,100,68.7,6870
69,1.0,100,69.7,6970
70,1.0,100,70.7,7070
71,1.0,100,71.7,7170
72,1.0,100,72.7,7270
73,1.0,100,73.7,7370
74,1.0,100,74.7,7470
75,1.0,100,75.7,7570
76,1.0,100,76.7,7670
77,1.0,100,77.7,7770
78,1.0,100,78.7,7870
79,1.0,100,79.7,7970
80,1.0,100,80.7,8070
81,1.0,100,81.7,8170
82,1.0,100,82.7,8270
83,1.0,100,83.7,8370
84,1.0,100,84.7,8470
85,1.0,100,85.7,8570
86,1.0,100,86.7,8670
87,1.0,100,87.7,8770
88,1.0,100,88.7,8870
89,1.0,100,89.7,8970
90,1.0,100,90.7,9070
91,1.0,100,91.7,9170
92,1.0,100,92.7,9270
93,1.0,100,93.7,9370
94,1.0,100,94.7,9470
95,1.0,100,95.7,9570
96,1.0,100,96.7,9670
97,1.0,100,97.7,9770
98,1.0,100,98.7,9870
99,1.0,100,99.7,9970
