index,consumption_good,round,name
1,1,0,firm13
2,3,0,firm44
3,3,0,firm67
4,3,0,firm98
5,3,0,firm31
6,3,0,firm62
7,3,0,firm93
8,3,0,firm10
9,1,0,firm41
10,3,0,firm72
11,1,0,firm5
12,3,0,firm36
13,3,0,firm59
14,1,0,firm90
15,3,0,firm23
16,1,0,firm54
17,1,0,firm85
18,1,0,firm2
19,1,0,firm33
20,3,0,firm64
21,1,0,firm28
22,3,0,firm51
23,1,0,firm82
24,3,0,firm15
25,3,0,firm46
26,3,0,firm77
27,3,0,firm25
28,3,0,firm56
29,3,0,firm95
30,3,0,firm20
31,1,0,firm43
32,3,0,firm74
33,3,0,firm7
34,3,0,firm38
35,3,0,firm69
36,3,0,firm17
37,3,0,firm48
38,3,0,firm87
39,1,0,firm12
40,3,0,firm35
41,3,0,firm66
42,3,0,firm97
43,3,0,firm30
44,1,0,firm61
45,1,0,firm92
46,3,0,firm9
47,1,0,firm40
48,3,0,firm79
49,3,0,firm4
50,3,0,firm27
51,1,0,firm58
52,3,0,firm89
53,1,0,firm22
54,3,0,firm53
55,3,0,firm84
56,3,0,firm1
57,3,0,firm32
58,3,0,firm71
59,3,0,firm19
60,3,0,firm50
61,3,0,firm81
62,1,0,firm14
63,3,0,firm45
64,1,0,firm76
65,3,0,firm99
66,1,0,firm24
67,1,0,firm63
68,3,0,firm94
69,1,0,firm11
70,3,0,firm42
71,3,0,firm73
72,3,0,firm6
73,1,0,firm37
74,3,0,firm68
75,3,0,firm91
76,3,0,firm16
77,3,0,firm55
78,1,0,firm86
79,1,0,firm3
80,3,0,firm34
81,3,0,firm65
82,3,0,firm96
83,3,0,firm29
84,1,0,firm60
85,3,0,firm83
86,1,0,firm8
87,3,0,firm47
88,3,0,firm78
89,3,0,firm26
90,1,0,firm57
91,3,0,firm88
92,1,0,firm21
93,1,0,firm52
94,3,0,firm75
95,1,0,firm0
96,3,0,firm39
97,3,0,firm70
98,3,0,firm18
99,3,0,firm49
100,1,0,firm80
101,2,1,firm13
102,4,1,firm44
103,2,1,firm67
104,4,1,firm98
105,4,1,firm31
106,4,1,firm62
107,4,1,firm93
108,4,1,firm10
109,2,1,firm41
110,2,1,firm72
111,2,1,firm5
112,4,1,firm36
113,4,1,firm59
114,2,1,firm90
115,4,1,firm23
116,2,1,firm54
117,2,1,firm85
118,0,1,firm2
119,0,1,firm33
120,4,1,firm64
121,2,1,firm28
122,4,1,firm51
123,2,1,firm82
124,2,1,firm15
125,4,1,firm46
126,2,1,firm77
127,4,1,firm25
128,4,1,firm56
129,2,1,firm95
130,4,1,firm20
131,0,1,firm43
132,4,1,firm74
133,4,1,firm7
134,4,1,firm38
135,4,1,firm69
136,4,1,firm17
137,4,1,firm48
138,4,1,firm87
139,2,1,firm12
140,4,1,firm35
141,2,1,firm66
142,4,1,firm97
143,4,1,firm30
144,0,1,firm61
145,2,1,firm92
146,2,1,firm9
147,0,1,firm40
148,4,1,firm79
149,4,1,firm4
150,2,1,firm27
151,2,1,firm58
152,4,1,firm89
153,2,1,firm22
154,4,1,firm53
155,4,1,firm84
156,4,1,firm1
157,4,1,firm32
158,4,1,firm71
159,4,1,firm19
160,4,1,firm50
161,4,1,firm81
162,2,1,firm14
163,2,1,firm45
164,0,1,firm76
165,4,1,firm99
166,2,1,firm24
167,2,1,firm63
168,4,1,firm94
169,2,1,firm11
170,4,1,firm42
171,4,1,firm73
172,2,1,firm6
173,0,1,firm37
174,4,1,firm68
175,4,1,firm91
176,2,1,firm16
177,4,1,firm55
